n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Miralles, M. P. | Harvard-Smithsonian Center for Astrophysics, 60 Garden St., MS 50, Cambridge, MA 02138, USA | 1993 | None | 1 | 6 | 2004 | 1 | 20 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 2 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 2 | 1 | 2 | 1 | 0 |
2 | Bell, Katherine Robbins | California Univ., Santa Cruz, CA. | 1993 | female | 2 | 8 | 2000 | 3 | 14 | 2008 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 4 | 1 | 2 | 3 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
3 | Cortes-Medellin, German | UNIVERSITY OF MASSACHUSETTS. | 1993 | male | 1 | 1 | 1994 | 1 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | Moldwin, Mark Bela Santos | BOSTON UNIVERSITY. | 1993 | male | 1 | 1 | 2000 | 1 | 1 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
5 | Phelps, Randy Lee | BOSTON UNIVERSITY. | 1993 | male | 3 | 10 | 2005 | 4 | 52 | 2010 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 0 | 2 | 5 | 2 | 5 | 10 | 10 | 7 | 1 | 0 | 1 | 3 | 3 | 1 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
6 | Quillen, Alice C. | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1993 | female | 3 | 58 | 2017 | 5 | 132 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 4 | 1 | 3 | 2 | 4 | 3 | 3 | 4 | 3 | 1 | 3 | 6 | 2 | 3 | 2 | 1 | 3 | 1 | 1 | 3 | 1 | 2 |  0 | 1 | 0 | 0 | 2 | 2 | 2 | 4 | 1 | 5 | 2 | 6 | 6 | 5 | 5 | 7 | 3 | 5 | 15 | 8 | 8 | 7 | 5 | 5 | 6 | 3 | 8 | 6 | 8 |
7 | Santee, Michelle | California Institute of Technology, Pasadena. | 1993 | female | 3 | 6 | 2005 | 4 | 26 | 2016 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 4 | 3 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 3 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 4 | 1 |
8 | Tinney, Christopher Geoffrey | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1993 | male | 7 | 24 | 2014 | 10 | 160 | 2017 | 0 | 0 | 1 | 0 | 1 | 5 | 0 | 3 | 1 | 2 | 3 | 3 | 0 | 1 | 2 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 |  0 | 2 | 1 | 0 | 2 | 5 | 1 | 4 | 1 | 4 | 6 | 4 | 2 | 4 | 8 | 8 | 4 | 7 | 9 | 7 | 7 | 7 | 9 | 11 | 11 | 13 | 8 | 6 | 14 |
9 | Longcope, Dana Warfield | CORNELL UNIVERSITY. | 1993 | female | 4 | 43 | 2016 | 4 | 113 | 2017 | 0 | 0 | 0 | 0 | 3 | 1 | 3 | 0 | 3 | 1 | 3 | 2 | 2 | 3 | 3 | 3 | 2 | 2 | 0 | 3 | 1 | 3 | 2 | 1 | 1 | 0 | 2 | 2 | 1 |  0 | 0 | 0 | 0 | 3 | 1 | 4 | 0 | 4 | 1 | 6 | 4 | 4 | 5 | 3 | 12 | 3 | 8 | 2 | 4 | 4 | 10 | 6 | 3 | 5 | 5 | 4 | 7 | 7 |
10 | Klaric, Mario | THE UNIVERSITY OF ALABAMA. | 1993 | male | 1 | 2 | 1995 | 3 | 7 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
11 | Uchida, Keven Isao | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1993 | male | 4 | 8 | 2004 | 5 | 44 | 2016 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 2 | 1 | 2 | 3 | 1 | 1 | 3 | 0 | 2 | 2 | 0 | 2 | 13 | 5 | 4 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 1 |
12 | Vancura, Olaf | THE JOHNS HOPKINS UNIVERSITY. | 1993 | male | 4 | 2 | 1995 | 16 | 6 | 1997 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 8 | 5 | 3 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
13 | Wilkinson, Erik | UNIVERSITY OF COLORADO AT BOULDER. | 1993 | male | 3 | 2 | 2003 | 4 | 19 | 2012 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 5 | 3 | 2 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |
