 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1986 |  fa_1987 |  fa_1988 |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1986 |  all_1987 |  all_1988 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 2 | Hsu, S. D. H. | California Univ., Berkeley. Lawrence Berkeley Lab. | 1991 | None | 1 | 4 | 2006 | 1 | 7 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 |
 6 | Engargiola, Gregory Alfred | THE UNIVERSITY OF CHICAGO. | 1991 | male | 3 | 3 | 2003 | 6 | 7 | 2012 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
 8 | Willick, Jeffrey Alan | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1991 | male | 4 | 11 | 2001 | 5 | 21 | 2001 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 2 | 4 | 3 | 2 | 1 | 3 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 9 | Zadrozny, John Thomas | PRINCETON UNIVERSITY. | 1991 | male | 1 | 0 | 1991 | 3 | 0 | 1991 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 14 | Zaritsky, Dennis Fabian | THE UNIVERSITY OF ARIZONA. | 1991 | male | 7 | 52 | 2017 | 7 | 229 | 2017 | 1 | 1 | 1 | 2 | 1 | 1 | 4 | 3 | 3 | 2 | 1 | 6 | 0 | 3 | 2 | 0 | 1 | 1 | 4 | 0 | 2 | 2 | 1 | 0 | 1 | 1 | 3 | 2 | 3 | 2 | 3 | 1 | 1 | 1 | 2 | 1 | 1 | 5 | 3 | 4 | 4 | 4 | 7 | 3 | 6 | 4 | 8 | 6 | 4 | 11 | 5 | 12 | 5 | 17 | 20 | 9 | 16 | 19 | 7 | 14 | 17 | 15 |
 19 | Lorenzo, Juan Manuel | Columbia Univ., New York, NY. | 1991 | male | 1 | 6 | 2016 | 1 | 12 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 3 | 3 | 1 |
 29 | Miller, Jonathan | California Institute of Technology, Pasadena. | 1991 | male | 10 | 67 | 2016 | 24 | 478 | 2017 | 0 | 1 | 1 | 2 | 3 | 3 | 1 | 3 | 1 | 1 | 0 | 3 | 2 | 1 | 0 | 2 | 6 | 4 | 5 | 3 | 6 | 1 | 9 | 2 | 2 | 1 | 2 | 4 | 2 | 2 | 4 | 1 | 3 | 4 | 3 | 8 | 5 | 3 | 5 | 5 | 5 | 3 | 7 | 5 | 5 | 4 | 13 | 14 | 15 | 15 | 11 | 16 | 7 | 26 | 32 | 27 | 31 | 38 | 50 | 42 | 34 | 46 |
 30 | Kamionkowski, Marc | Chicago Univ., IL. | 1991 | male | 4 | 42 | 2016 | 8 | 229 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 3 | 0 | 6 | 2 | 2 | 3 | 5 | 3 | 1 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 2 | 3 | 2 | 2 | 0 | 0 | 3 | 0 | 1 | 0 | 1 | 1 | 0 | 3 | 3 | 4 | 0 | 8 | 5 | 6 | 9 | 10 | 8 | 8 | 11 | 10 | 10 | 6 | 8 | 12 | 5 | 12 | 13 | 9 | 9 | 10 | 10 | 13 | 11 | 15 |
 32 | Kim, Sangpyo | THE PENNSYLVANIA STATE UNIVERSITY. | 1991 | None | 16 | 93 | 2017 | 43 | 399 | 2017 | 4 | 1 | 4 | 1 | 2 | 4 | 4 | 3 | 2 | 1 | 3 | 6 | 6 | 6 | 1 | 3 | 5 | 3 | 6 | 5 | 4 | 6 | 3 | 5 | 2 | 2 | 8 | 3 | 2 | 1 | 1 | 4 | 5 | 13 | 4 | 7 | 10 | 13 | 5 | 3 | 2 | 5 | 12 | 12 | 16 | 6 | 14 | 13 | 14 | 24 | 13 | 23 | 22 | 24 | 19 | 21 | 20 | 20 | 14 | 19 | 31 | 22 |
 34 | Bolton, Scott Jay | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1991 | male | 3 | 8 | 2015 | 4 | 67 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 1 | 5 | 3 | 9 | 2 | 2 | 2 | 5 | 5 | 1 | 4 | 5 | 2 | 1 | 3 | 4 | 1 | 2 | 0 | 0 | 4 | 1 | 1 |
